"","Offense_Type","District","Year","Month","Day_Week","Street","Lat","Long"
"20301","robbery","e13","2017","6","saturday","walnut park","42.31451479","-71.0947082"
"20302","aggravated assault","c11","2017","6","saturday","topliff st","42.30443502","-71.06862907"
"20303","robbery","a1","2017","6","saturday","beacon st","42.35678442","-71.06670845"
"20304","residential burglary","e5","2017","6","thursday","stratford st","42.27835939","-71.14366997"
"20305","aggravated assault","b2","2017","6","friday","horadan way","42.33426518","-71.09822171"
"20306","aggravated assault","b2","2017","6","saturday","dudley st","42.31852295","-71.06865846"
"20307","aggravated assault","b2","2017","6","saturday","fernboro st","42.31186553","-71.07668603"
"20308","robbery","e18","2017","6","monday","river st","42.26352306","-71.10578562"
"20309","robbery","a1","2017","6","saturday","boylston st","42.35236776","-71.06454338"
"20310","residential burglary","b2","2017","6","saturday","dudley st","42.32643963","-71.07577308"
"20311","residential burglary","a7","2017","6","friday","havre st","42.36991243","-71.04092628"
"20312","residential burglary","b3","2017","6","saturday","carmen st","42.30028348","-71.07766845"
"20313","robbery","c11","2017","6","saturday","savin hill ave","42.31281398","-71.05849562"
"20314","aggravated assault","d4","2017","6","saturday","clarendon st","42.35166613","-71.07569173"
"20315","robbery","c11","2017","6","saturday","florida st","42.29165545","-71.06009035"
"20316","aggravated assault","c6","2017","6","saturday","c st","42.33723127","-71.05539138"
"20317","robbery","c6","2017","6","saturday","c st","42.33723127","-71.05539138"
"20318","aggravated assault","d14","2017","6","saturday","perthshire rd","42.35360676","-71.16662133"
"20319","aggravated assault","b2","2017","6","saturday","marcella st","42.32369646","-71.09564674"
"20320","residential burglary","d4","2017","6","friday","brookline ave","42.34410718","-71.1018026"
"20321","aggravated assault","a1","2017","6","friday","cortes st","42.34827698","-71.07038932"
"20322","aggravated assault","d4","2017","6","friday","brookline ave","42.34717072","-71.09855075"
"20323","robbery","c11","2017","6","friday","ronan st","42.31106545","-71.06693233"
"20324","residential burglary","b3","2017","6","friday","millet st","42.29098101","-71.07589348"
"20325","aggravated assault","b2","2017","6","friday","ruggles st","42.33105456","-71.08273154"
"20326","residential burglary","b3","2017","6","friday","dunlap st","42.29281079","-71.07327594"
"20327","aggravated assault","b2","2017","6","friday","clarence st","42.32462274","-71.07311246"
